"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Nova Colinas","MA","5340.00","2416.00","Não","","","","","","",""
"Nova Cruz","RN","37233.00","25577.00","Não","","","","","","",""
"Nova Era","MG","17607.00","15489.00","Sim","13800.00","238.00","","","","",""
"Nova Erechim","SC","4945.00","3714.00","Não","","","","","","",""
"Nova Esperança","PR","27821.00","25425.00","Sim","25425.00","720.00","313.20","185.70","106.50","10.20","104.40"
"Nova Esperança do Sudoeste","PR","5063.00","1732.00","Sim","1732.00","96.00","29.00","26.00","13.00","22.00","6.00"
"Nova Esperança do Sul","RS","5292.00","4077.00","Não","","","","","","",""
"Nova Europa","SP","11013.00","10214.00","Não","","","","","","",""
"Nova Friburgo","RJ","190084.00","166376.00","Não","","","","","","",""
"Nova Granada","SP","21307.00","19746.00","Não","","","","","","",""
"Nova Hartz","RS","21317.00","17742.00","Não","","230.00","99.00","81.00","28.00","22.00","0.00"
"Nova Ibiá","BA","6631.00","2800.00","Não","","","","","","",""
"Nova Iguaçu","RJ","818875.00","809934.00","Sim","90000.00","131.50","32.00","40.00","55.00","3.00","1.50"
"Nova Iguaçu de Goiás","GO","2923.00","2093.00","Não","","","","","","",""
"Nova Independência","SP","3883.00","3096.00","Não","","","","","","",""
"Nova Ipixuna","PA","16499.00","8704.00","Não","","","","","","",""
"Novais","SP","5712.00","5201.00","Não","","","","","","",""
"Nova Itaberaba","SC","4333.00","1554.00","Sim","1554.00","58.60","1.00","3.00","48.00","6.60","0.00"
"Nova Itarana","BA","8172.00","2984.00","Não","","","","","","",""
"Nova Lacerda","MT","6526.00","3578.00","Não","","","","","","",""
"Nova Laranjeiras","PR","11603.00","2448.00","Não","","","","","","",""
"Nova Lima","MG","93577.00","91537.00","Não","","49.40","0.00","0.00","35.00","14.40","0.00"
"Nova Londrina","PR","13225.00","12159.00","Sim","12000.00","384.30","94.90","112.40","43.10","28.40","105.50"
"Nova Mamoré","RO","29757.00","17246.00","Não","","","","","","",""
"Nova Marilândia","MT","3249.00","2155.00","Não","","","","","","",""
"Nova Maringá","MT","8428.00","4375.00","Não","","","","","","",""
"Nova Módica","MG","3627.00","2228.00","Não","","","","","","",""
"Nova Mutum","MT","43919.00","35893.00","Sim","35693.00","421.20","307.50","103.00","6.60","0.00","4.10"
"Nova Odessa","SP","59371.00","58404.00","Sim","15000.00","396.00","","","","",""
"Nova Olímpia","MT","20034.00","18114.00","Não","","","","","","",""
"Nova Olímpia","PR","5785.00","4925.00","Sim","4925.00","210.00","84.00","31.50","63.00","31.50","0.00"
"Nova Olinda","CE","15520.00","10556.00","Sim","4000.00","21.00","","","","",""
"Nova Olinda","PB","5978.00","3178.00","Não","","21.50","3.00","3.50","15.00","0.00","0.00"
"Nova Olinda","TO","11719.00","8187.00","Não","","","","","","",""
"Nova Olinda do Norte","AM","36721.00","16301.00","Sim","16301.00","255.00","","","","",""
"Nova Pádua","RS","2548.00","761.00","Sim","","7.00","","","","",""
"Nova Palma","RS","6508.00","3164.00","Sim","3164.00","60.00","30.00","10.00","10.00","5.00","5.00"
"Nova Palmeira","PB","4840.00","2832.00","Não","","","","","","",""
"Nova Petrópolis","RS","21156.00","15701.00","Sim","15701.00","714.00","136.00","468.00","50.00","60.00","0.00"
"Nova Ponte","MG","15280.00","13108.00","Não","","","","","","",""
"Nova Prata do Iguaçu","PR","10552.00","6169.00","Não","","","","","","",""
"Nova Roma do Sul","RS","3661.00","1736.00","Sim","1736.00","216.00","86.40","66.90","38.90","23.80","0.00"
"Nova Rosalândia","TO","4215.00","2759.00","Não","","","","","","",""
"Nova Santa Bárbara","PR","4220.00","3541.00","Sim","3541.00","175.00","95.00","28.00","20.00","30.00","2.00"
"Nova Santa Helena","MT","3699.00","2120.00","Não","","","","","","",""
"Nova Santa Rosa","PR","8171.00","5695.00","Sim","5695.00","227.10","150.40","47.30","16.80","12.60","0.00"
"Nova Serrana","MG","99770.00","94350.00","Não","","","","","","",""
"Nova Tebas","PR","5856.00","2288.00","Sim","900.00","144.80","64.80","30.00","18.00","8.00","24.00"
