"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Abadia de Goiás","GO","8,583.00","6,342.00","","Não","","","","","","",""
"Abadia dos Dourados","MG","6,972.00","4,356.00","560.00","Sim","","50.00","","","","",""
"Abaetetuba","PA","156,292.00","91,934.00","","Não","","110.00","30.00","15.00","60.00","0.00","5.00"
"Abatiá","PR","7,507.00","5,542.00","132.00","Sim","3,800.00","123.00","30.00","32.00","28.00","18.00","15.00"
"Abdon Batista","SC","2,577.00","703.00","540.00","Sim","700.00","1.00","0.00","0.00","1.00","0.00","0.00"
"Abelardo Luz","SC","17,847.00","9,988.00","","Não","","","","","","",""
"Abel Figueiredo","PA","7,382.00","6,570.00","","Não","","","","","","",""
"Abre Campo","MG","13,465.00","7,365.00","1200.00","Sim","6,000.00","700.00","","","","",""
"Abreu e Lima","PE","99,622.00","91,389.00","1370.00","Sim","25,000.00","1,368.00","708.00","292.00","157.00","156.00","55.00"
"Abreulândia","TO","2,564.00","1,583.00","","Não","","","","","","",""
"Acaiaca","MG","3,994.00","2,601.00","","Não","","","","","","",""
"Acajutiba","BA","15,129.00","13,189.00","","Não","","","","","","",""
"Acari","RN","11,152.00","8,996.00","","Não","","175.00","44.00","84.00","26.00","9.00","12.00"
"Acauã","PI","7,065.00","943.00","","Não","","","","","","",""
"Aceguá","RS","4,858.00","1,171.00","210.00","Sim","1,000.00","20.00","","","","",""
"Acreúna","GO","22,182.00","19,357.00","","Não","","","","","","",""
"Açu","RN","57,644.00","42,625.00","","Não","","","","","","",""
"Afonso Bezerra","RN","11,041.00","5,864.00","","Não","","","","","","",""
"Afonso Cláudio","ES","30,720.00","15,666.00","123.70","Sim","8,500.00","119.90","81.60","16.90","19.20","2.20","0.00"
"Afuá","PA","38,863.00","10,511.00","","Não","","","","","","",""
"Agricolândia","PI","5,148.00","3,637.00","1.00","Sim","","0.00","0.00","0.00","0.00","0.00","0.00"
"Água Boa","MG","13,600.00","6,297.00","","Não","","","","","","",""
"Água Boa","MT","25,229.00","20,273.00","","Não","","420.00","","","","",""
"Água Branca","AL","20,162.00","5,308.00","","Não","","","","","","",""
"Água Branca","PB","10,161.00","4,367.00","","Não","","1.00","","","","",""
"Água Branca","PI","17,349.00","15,333.00","","Não","","","","","","",""
"Água Comprida","MG","2,005.00","1,505.00","","Não","","","","","","",""
"Água Doce","SC","7,138.00","3,520.00","","Não","","","","","","",""
"Aguaí","SP","35,954.00","32,434.00","","Não","","","","","","",""
"Aguanil","MG","4,448.00","2,573.00","","Não","","","","","","",""
"Água Santa","RS","3,753.00","1,459.00","419.00","Sim","1,400.00","87.00","","","","",""
"Águas Belas","PE","43,195.00","26,371.00","","Não","","","","","","",""
"Águas da Prata","SP","8,137.00","7,265.00","2200.00","Sim","7,265.00","57.80","6.00","3.40","45.30","2.00","1.10"
"Águas de São Pedro","SP","3,380.00","3,380.00","121.00","Sim","3,380.00","117.00","46.50","50.00","13.90","4.60","2.00"
"Águas Formosas","MG","19,166.00","14,850.00","","Não","","","","","","",""
"Águas Frias","SC","2,378.00","962.00","","Não","","12.00","2.00","2.00","5.00","0.00","3.00"
"Águas Lindas de Goiás","GO","207,070.00","206,758.00","11000.00","Sim","","","","","","",""
"Águas Mornas","SC","6,378.00","2,675.00","","Não","","408.00","120.00","105.00","93.00","83.00","7.00"
"Agudo","RS","16,524.00","6,807.00","","Não","","","","","","",""
"Agudos","SP","37,023.00","35,381.00","1000.00","Sim","35,381.00","880.00","80.00","350.00","350.00","80.00","20.00"
"Agudos do Sul","PR","9,269.00","3,163.00","96.00","Sim","2,900.00","50.00","22.00","5.00","8.00","5.00","10.00"
"Aguiar","PB","5,571.00","2,721.00","","Não","","","","","","",""
"Aguiarnópolis","TO","6,572.00","5,273.00","","Não","","","","","","",""
"Aimorés","MG","25,193.00","19,885.00","","Não","","350.00","","","","",""
"Aiuaba","CE","17,303.00","4,219.00","","Não","","","","","","",""
"Aiuruoca","MG","6,032.00","3,057.00","","Não","","","","","","",""
"Ajuricaba","RS","7,063.00","3,999.00","","Não","","","","","","",""
"Alagoinha","PB","14,367.00","9,560.00","","Não","","","","","","",""
"Alagoinha do Piauí","PI","7,636.00","2,776.00","","Não","","","","","","",""
"Alagoinhas","BA","150,832.00","131,804.00","132.00","Sim","","","","","","",""
"Albertina","MG","3,003.00","2,074.00","","Não","","","","","","",""
"Alcantil","PB","5,473.00","2,156.00","","Não","","","","","","",""
"Alcinópolis","MS","5,268.00","3,616.00","200.00","Sim","1,800.00","150.00","30.00","80.00","25.00","0.00","15.00"
"Alcobaça","BA","22,449.00","11,699.00","","Não","","","","","","",""
"Alecrim","RS","6,077.00","1,868.00","180.00","Sim","1,686.00","120.00","","","","",""
"Alegre","ES","30,568.00","21,372.00","115.00","Sim","","80.00","71.00","3.00","3.00","1.00","2.00"
"Alegrete","RS","74,173.00","66,475.00","3100.00","Sim","","2,900.00","","","","",""
"Alegrete do Piauí","PI","4,912.00","2,704.00","","Não","","","","","","",""
"Alegria","RS","3,559.00","1,312.00","330.00","Sim","1,312.00","21.00","12.00","3.00","1.00","1.00","4.00"
"Alexandria","RN","13,602.00","9,254.00","","Não","","","","","","",""
"Alexânia","GO","27,288.00","22,546.00","","Não","","","","","","",""
"Alfredo Chaves","ES","14,566.00","6,832.00","10.00","Sim","6,000.00","7.00","4.00","3.00","0.00","0.00","0.00"
"Alfredo Marcondes","SP","4,147.00","3,469.00","","Não","","","","","","",""
"Almino Afonso","RN","4,761.00","3,400.00","","Não","","","","","","",""
"Almirante Tamandaré","PR","117,168.00","112,273.00","150.00","Sim","23,433.00","130.00","40.00","20.00","40.00","20.00","10.00"
"Almirante Tamandaré do Sul","RS","1,979.00","803.00","","Não","","","","","","",""
"Alpercata","MG","7,411.00","5,849.00","","Não","","","","","","",""
"Alpestre","RS","6,458.00","1,779.00","250.00","Sim","1,779.00","100.00","","","","",""
"Alpinópolis","MG","19,745.00","16,009.00","","Não","","","","","","",""
"Alta Floresta D Oeste","RO","23,167.00","13,268.00","","Não","","","","","","",""
"Altair","SP","4,134.00","3,275.00","149.00","Sim","3,275.00","101.00","14.00","11.00","32.00","38.00","6.00"
"Altamira","PA","113,195.00","96,077.00","0.00","Sim","","","","","","",""
"Altinho","PE","22,959.00","13,122.00","","Não","","","","","","",""
"Altinópolis","SP","16,164.00","14,123.00","985.00","Sim","14,123.00","704.50","","","","",""
"Alto Alegre","RS","1,663.00","669.00","","Não","","","","","","",""
"Alto Alegre do Maranhão","MA","26,839.00","21,138.00","","Não","","","","","","",""
"Alto Alegre do Pindaré","MA","31,894.00","10,094.00","","Não","","","","","","",""
"Alto Alegre dos Parecis","RO","13,227.00","3,774.00","","Não","","","","","","",""
"Alto Araguaia","MT","18,703.00","16,524.00","","Não","","","","","","",""
"Alto Bela Vista","SC","1,948.00","588.00","","Não","","","","","","",""
"Alto Caparaó","MG","5,799.00","4,340.00","","Não","","","","","","",""
"Alto do Rodrigues","RN","14,326.00","10,330.00","","Não","","","","","","",""
"Alto Feliz","RS","3,020.00","845.00","850.00","Sim","845.00","345.00","","","","",""
"Alto Garças","MT","11,868.00","10,842.00","","Não","","","","","","",""
"Alto Horizonte","GO","6,218.00","5,332.00","250.60","Sim","","103.70","","","","",""
"Alto Jequitibá","MG","8,333.00","4,308.00","","Não","","","","","","",""
"Altônia","PR","21,933.00","16,137.00","140.00","Sim","7,800.00","122.00","85.00","8.00","9.00","20.00","0.00"
"Alto Paraguai","MT","11,238.00","7,126.00","","Não","","600.00","200.00","200.00","100.00","0.00","100.00"
"Alto Paraíso","PR","2,799.00","1,547.00","50.00","Sim","1,546.00","31.00","15.00","3.00","4.00","4.00","5.00"
"Alto Paraíso de Goiás","GO","7,558.00","5,729.00","250.00","Sim","300.00","246.00","85.00","36.00","100.00","0.00","25.00"
"Alto Paraná","PR","14,679.00","12,055.00","560.00","Sim","12,055.00","432.00","251.00","87.00","28.00","47.00","19.00"
"Alto Piquiri","PR","9,896.00","8,143.00","350.00","Sim","8,140.00","294.80","107.00","112.50","30.00","37.00","8.30"
"Alto Rio Doce","MG","11,146.00","4,648.00","6.00","Sim","4,084.00","2.50","","","","",""
"Alto Rio Novo","ES","7,798.00","4,536.00","96.00","Sim","2,250.00","94.00","60.00","22.00","9.00","1.00","2.00"
"Alumínio","SP","18,484.00","15,503.00","480.00","Sim","15,503.00","432.00","302.40","108.00","10.80","10.80","0.00"
"Alvarenga","MG","3,973.00","1,894.00","33.60","Sim","","30.00","20.00","6.00","3.00","0.50","0.50"
"Álvares Florence","SP","3,712.00","2,522.00","","Não","","","","","","",""
"Álvares Machado","SP","24,830.00","22,369.00","180.00","Sim","15,000.00","160.00","","","","",""
"Álvaro de Carvalho","SP","5,179.00","3,288.00","14.20","Sim","","9.20","8.00","1.20","0.00","0.00","0.00"
"Alvinópolis","MG","15,239.00","11,417.00","","Não","","","","","","",""
"Alvorada","RS","209,213.00","209,213.00","720.00","Sim","200,000.00","311.70","100.80","83.50","0.00","51.80","75.60"
"Alvorada","TO","8,427.00","7,814.00","","Não","","","","","","",""
"Alvorada de Minas","MG","3,606.00","1,475.00","","Não","","","","","","",""
"Alvorada D Oeste","RO","14,722.00","7,708.00","","Não","","200.00","","","","",""
"Alvorada do Gurguéia","PI","5,392.00","1,974.00","","Não","","","","","","",""
"Alvorada do Sul","PR","11,306.00","8,068.00","118.50","Sim","4,000.00","112.00","","","","",""
"Amambai","MS","38,958.00","25,099.00","6055.00","Sim","23,000.00","981.50","","","","",""
"Amapá do Maranhão","MA","6,918.00","5,208.00","","Não","","","","","","",""
"Amaporã","PR","6,181.00","4,917.00","194.00","Sim","4,900.00","65.00","","","","",""
"Amaral Ferrador","RS","6,974.00","2,048.00","","Não","","","","","","",""
"Amélia Rodrigues","BA","25,224.00","19,984.00","","Não","","","","","","",""
"América Dourada","BA","16,097.00","10,924.00","","Não","","","","","","",""
"Americana","SP","237,112.00","236,004.00","5400.00","Sim","200,000.00","808.00","52.00","288.00","192.00","240.00","36.00"
"Americano do Brasil","GO","6,057.00","5,188.00","0.00","Sim","","","","","","",""
"Américo de Campos","SP","5,956.00","4,998.00","140.00","Sim","2,000.00","130.00","70.00","20.00","30.00","5.00","5.00"
"Ametista do Sul","RS","7,416.00","3,859.00","700.00","Sim","3,811.00","82.50","30.00","32.00","8.50","12.00","0.00"
"Amparo","PB","2,227.00","1,133.00","","Não","","","","","","",""
"Ampére","PR","18,989.00","14,545.00","3760.00","Sim","5,000.00","145.00","50.00","50.00","30.00","10.00","5.00"
"Anagé","BA","18,194.00","3,511.00","","Não","","","","","","",""
"Anahy","PR","2,816.00","2,065.00","76.80","Sim","2,065.00","37.90","","","","",""
"Analândia","SP","4,933.00","3,916.00","0.00","Sim","","","","","","",""
"Ananás","TO","9,607.00","7,931.00","","Não","","","","","","",""
"Ananindeua","PA","525,566.00","524,273.00","1304.00","Sim","50,000.00","1,250.00","941.00","122.00","50.00","0.00","137.00"
"Anápolis","GO","381,970.00","375,283.00","2272.00","Sim","216,000.00","2,075.00","546.60","228.10","79.50","36.40","1,184.40"
"Anapurus","MA","15,566.00","8,000.00","","Não","","","","","","",""
"Anaurilândia","MS","8,993.00","4,576.00","4710.00","Sim","","8.20","5.90","2.10","0.20","0.00","0.00"
"Anchieta","ES","28,736.00","21,834.00","273.00","Sim","","246.00","183.00","28.00","26.00","9.00","0.00"
"Anchieta","SC","5,721.00","2,319.00","","Não","","21.00","3.00","2.00","3.00","13.00","0.00"
"Andaraí","BA","13,153.00","7,324.00","","Não","","","","","","",""
"Andirá","PR","20,139.00","18,909.00","316.00","Sim","18,909.00","314.00","20.00","98.00","98.00","98.00","0.00"
"Andradas","MG","40,747.00","30,641.00","350.00","Sim","30,641.00","292.00","","","","",""
"Andradina","SP","57,112.00","53,309.00","960.00","Sim","533.00","816.00","180.00","180.00","300.00","70.00","86.00"
"André da Rocha","RS","1,324.00","540.00","","Não","","","","","","",""
"Andrelândia","MG","12,242.00","9,866.00","","Não","","","","","","",""
"Angélica","MS","10,620.00","8,893.00","","Não","","","","","","",""
"Angelina","SC","4,860.00","1,040.00","640.00","Sim","1,040.00","302.00","72.00","72.00","38.00","120.00","0.00"
"Angico","TO","3,417.00","2,086.00","","Não","","","","","","",""
"Angra dos Reis","RJ","200,407.00","193,052.00","15921.90","Sim","","7,150.80","","","","",""
"Anhanguera","GO","1,137.00","1,065.00","","Não","","","","","","",""
"Anhumas","SP","4,085.00","3,343.00","128.70","Sim","3,343.00","91.00","35.00","25.00","10.00","14.00","7.00"
"Anicuns","GO","21,717.00","18,575.00","105.00","Sim","","","","","","",""
"Anísio de Abreu","PI","9,818.00","4,859.00","","Não","","","","","","",""
"Anita Garibaldi","SC","7,313.00","3,860.00","420.00","Sim","1,899.00","114.00","38.00","35.00","25.00","8.00","8.00"
"Anitápolis","SC","3,236.00","1,324.00","100.00","Sim","500.00","71.00","10.00","13.00","22.00","8.00","18.00"
"Anta Gorda","RS","6,003.00","2,304.00","","Não","","","","","","",""
"Antônio Almeida","PI","3,158.00","2,311.00","","Não","","","","","","",""
"Antônio Carlos","SC","8,411.00","2,640.00","264.00","Sim","2,640.00","242.40","60.00","48.00","56.40","72.00","6.00"
"Antônio João","MS","8,891.00","7,396.00","","Não","","118.00","","","","",""
"Antônio Martins","RN","7,137.00","3,910.00","","Não","","","","","","",""
"Antônio Prado","RS","13,055.00","9,395.00","425.60","Sim","9,395.00","295.00","192.00","80.00","1.50","8.50","13.00"
"Aparecida","PB","8,337.00","3,951.00","","Não","","","","","","",""
"Aparecida","SP","36,129.00","35,604.00","159.60","Sim","35,604.00","159.50","","","","",""
"Aparecida de Goiânia","GO","565,957.00","565,381.00","849.30","Sim","190,000.00","774.50","","","","",""
"Aparecida D Oeste","SP","4,234.00","3,468.00","","Não","","","","","","",""
"Aparecida do Taboado","MS","25,431.00","22,897.00","","Não","","","","","","",""
"Apiacá","ES","7,580.00","5,258.00","","Não","","","","","","",""
"Apiacás","MT","9,979.00","7,428.00","","Não","","","","","","",""
"Apicum-Açu","MA","17,063.00","10,451.00","","Não","","","","","","",""
"Apiúna","SC","10,636.00","4,751.00","0.00","Sim","","","","","","",""
"Aporá","BA","17,673.00","8,477.00","","Não","","","","","","",""
"Aporé","GO","4,163.00","2,782.00","","Não","","","","","","",""
"Apucarana","PR","133,726.00","126,183.00","2160.00","Sim","100,950.00","1,080.00","432.00","324.00","108.00","54.00","162.00"
"Aquidabã","SE","21,443.00","12,249.00","","Não","","","","","","",""
"Aquidauana","MS","47,784.00","37,635.00","","Não","","","","","","",""
"Arabutã","SC","4,266.00","1,330.00","","Não","","","","","","",""
"Araçagi","PB","17,079.00","6,747.00","","Não","","","","","","",""
"Araçaí","MG","2,341.00","1,861.00","","Não","","","","","","",""
"Aracaju","SE","648,939.00","648,939.00","1185.90","Sim","268,041.00","1,031.70","856.30","92.90","51.60","30.90","0.00"
"Araçariguama","SP","21,854.00","21,854.00","","Não","","","","","","",""
"Araçatuba","SP","195,874.00","192,096.00","1859.90","Sim","192,096.00","1,282.10","","","","",""
"Araci","BA","54,099.00","20,569.00","","Não","","","","","","",""
"Araçoiaba","PE","20,312.00","17,081.00","","Não","","4.60","1.40","1.30","1.00","0.50","0.40"
"Araçoiaba da Serra","SP","33,499.00","23,026.00","123.60","Sim","1,200.00","6.50","","","","",""
"Aracruz","ES","99,305.00","86,707.00","352.00","Sim","40,000.00","304.40","184.90","39.20","35.60","40.00","4.70"
"Araçu","GO","3,560.00","3,143.00","","Não","","","","","","",""
"Araçuaí","MG","36,705.00","23,885.00","","Não","","","","","","",""
"Aragarças","GO","19,959.00","19,209.00","","Não","","","","","","",""
"Araguacema","TO","7,016.00","3,249.00","","Não","","","","","","",""
"Araguaiana","MT","3,119.00","2,136.00","","Não","","","","","","",""
"Araguaína","TO","177,517.00","168,600.00","","Não","","","","","","",""
"Araguanã","TO","5,663.00","3,812.00","","Não","","","","","","",""
"Araguari","MG","116,691.00","109,020.00","807.30","Sim","50,000.00","507.30","","","","",""
"Aral Moreira","MS","11,963.00","6,252.00","","Não","","","","","","",""
"Aramari","BA","11,332.00","5,787.00","","Não","","","","","","",""
"Arambaré","RS","3,600.00","2,840.00","","Não","","","","","","",""
"Arantina","MG","2,804.00","2,615.00","","Não","","","","","","",""
"Arapiraca","AL","230,417.00","195,398.00","","Não","","10.00","","","","",""
"Arapoema","TO","6,670.00","5,397.00","","Não","","","","","","",""
"Araponga","MG","8,425.00","3,143.00","","Não","","","","","","",""
"Arapongas","PR","121,198.00","118,523.00","360.00","Sim","118,523.00","78.00","20.00","15.00","15.00","5.00","23.00"
"Araporã","MG","6,804.00","6,532.00","","Não","","","","","","",""
"Arapuã","PR","3,128.00","1,172.00","220.00","Sim","1,172.00","82.00","","","","",""
"Araquari","SC","36,710.00","34,554.00","","Não","","","","","","",""
"Arara","PB","13,438.00","9,478.00","","Não","","","","","","",""
"Araranguá","SC","67,578.00","55,692.00","","Não","","","","","","",""
"Araraquara","SP","233,744.00","227,099.00","5053.20","Sim","216,000.00","2,841.70","1,393.60","507.60","243.80","670.30","26.40"
"Araras","SP","132,934.00","125,776.00","696.00","Sim","30,000.00","300.00","","","","",""
"Ararendá","CE","10,901.00","5,098.00","","Não","","","","","","",""
"Arari","MA","29,764.00","18,266.00","","Não","","","","","","",""
"Araricá","RS","5,622.00","4,619.00","","Não","","","","","","",""
"Araripe","CE","21,550.00","13,265.00","","Não","","","","","","",""
"Araripina","PE","83,964.00","50,951.00","","Não","","","","","","",""
"Araruna","PB","20,215.00","9,988.00","","Não","","","","","","",""
"Araruna","PR","13,939.00","10,881.00","372.40","Sim","10,881.00","372.30","94.10","151.00","79.60","5.20","42.40"
"Arauá","SE","10,168.00","4,194.00","","Não","","","","","","",""
"Araucária","PR","141,410.00","130,824.00","1130.00","Sim","126,000.00","869.90","376.10","276.90","114.20","102.70","0.00"
"Araxá","MG","105,083.00","103,526.00","5145.00","Sim","92,000.00","2,265.00","","","","",""
"Arceburgo","MG","10,657.00","9,166.00","","Não","","362.00","56.00","96.00","93.00","117.00","0.00"
"Arco-Íris","SP","1,811.00","1,032.00","15.00","Sim","","13.00","1.00","8.00","3.00","0.00","1.00"
"Arcos","MG","39,793.00","36,927.00","552.00","Sim","29,868.00","546.00","231.00","99.00","31.00","61.00","124.00"
"Areal","RJ","12,471.00","10,833.00","219.60","Sim","5,100.00","175.70","101.90","38.70","19.30","10.50","5.30"
"Arealva","SP","8,505.00","6,699.00","","Não","","180.00","","","","",""
"Areia","PB","22,978.00","14,077.00","","Não","","","","","","",""
"Areia Branca","RN","27,162.00","21,799.00","","Não","","","","","","",""
"Areia Branca","SE","18,396.00","8,939.00","","Não","","","","","","",""
"Areia de Baraúnas","PB","2,140.00","1,129.00","","Não","","","","","","",""
"Areias","SP","3,876.00","2,599.00","","Não","","","","","","",""
"Areiópolis","SP","11,099.00","9,863.00","120.00","Sim","9,863.00","110.00","","","","",""
"Arenápolis","MT","9,714.00","9,181.00","","Não","","","","","","",""
"Arenópolis","GO","2,689.00","1,575.00","","Não","","","","","","",""
"Argirita","MG","2,751.00","2,079.00","","Não","","77.00","27.00","21.00","13.00","15.00","1.00"
"Aricanduva","MG","5,191.00","1,845.00","","Não","","","","","","",""
"Arinos","MG","17,888.00","10,985.00","","Não","","","","","","",""
"Aripuanã","MT","21,987.00","13,767.00","","Não","","","","","","",""
"Ariquemes","RO","106,168.00","89,920.00","4927.00","Sim","10,000.00","2,400.00","","","","",""
"Ariranha","SP","9,573.00","9,066.00","","Não","","","","","","",""
"Ariranha do Ivaí","PR","2,151.00","793.00","274.80","Sim","793.00","73.80","8.90","2.20","41.40","3.60","17.70"
"Armazém","SC","8,587.00","5,409.00","","Não","","","","","","",""
"Aroeiras","PB","19,190.00","9,585.00","","Não","","","","","","",""
"Arraial do Cabo","RJ","30,096.00","30,096.00","50.00","Sim","27,715.00","40.00","","","","",""
"Arroio do Padre","RS","2,921.00","486.00","","Não","","","","","","",""
"Arroio do Tigre","RS","13,332.00","6,284.00","","Não","","12.00","","","","",""
"Arroio Grande","RS","18,351.00","15,981.00","932.20","Sim","15,981.00","100.20","62.50","25.00","10.30","0.00","2.40"
"Arroio Trinta","SC","3,551.00","2,431.00","","Não","","","","","","",""
"Artur Nogueira","SP","53,450.00","48,394.00","","Não","","","","","","",""
"Aruanã","GO","9,635.00","7,941.00","","Não","","84.00","","","","",""
"Arujá","SP","88,455.00","84,925.00","720.00","Sim","81,799.00","717.60","428.50","70.90","100.20","55.80","62.20"
"Arvoredo","SC","2,246.00","498.00","","Não","","","","","","",""
"Ascurra","SC","7,889.00","6,873.00","","Não","","","","","","",""
"Aspásia","SP","1,825.00","1,268.00","5.00","Sim","1,268.00","4.00","","","","",""
"Assaí","PR","15,289.00","12,702.00","475.50","Sim","12,700.00","380.40","","","","",""
"Assis","SP","103,666.00","99,141.00","2400.00","Sim","99,141.00","1,600.00","800.00","200.00","200.00","200.00","200.00"
"Assis Chateaubriand","PR","33,397.00","29,340.00","756.00","Sim","29,340.00","375.00","170.00","105.00","42.00","48.00","10.00"
"Assunção do Piauí","PI","7,828.00","3,524.00","","Não","","","","","","",""
"Astolfo Dutra","MG","14,085.00","12,825.00","20.00","Sim","","16.00","2.00","14.00","0.00","0.00","0.00"
"Astorga","PR","26,011.00","23,758.00","960.00","Sim","23,758.00","732.50","175.10","169.10","76.60","173.70","138.00"
"Atalaia","PR","3,902.00","3,338.00","200.00","Sim","3,338.00","114.00","38.00","32.00","36.00","8.00","0.00"
"Atalanta","SC","3,226.00","1,337.00","314.00","Sim","1,337.00","100.80","44.80","35.10","11.00","9.90","0.00"
"Ataléia","MG","13,064.00","6,506.00","","Não","","","","","","",""
"Atibaia","SP","141,398.00","128,695.00","1762.90","Sim","52,000.00","1,400.00","700.00","200.00","100.00","100.00","300.00"
"Atilio Vivacqua","ES","11,765.00","7,305.00","100.00","Sim","","96.00","78.00","12.00","6.00","0.00","0.00"
"Augustinópolis","TO","18,178.00","15,017.00","","Não","","","","","","",""
"Augusto Corrêa","PA","45,516.00","20,501.00","","Não","","","","","","",""
"Augusto Pestana","RS","6,706.00","3,456.00","92.00","Sim","3,454.00","8.30","3.00","2.00","2.00","1.30","0.00"
"Áurea","RS","3,573.00","1,498.00","380.00","Sim","1,498.00","190.00","","","","",""
"Aurora","CE","24,699.00","11,889.00","","Não","","","","","","",""
"Aurora do Pará","PA","30,896.00","9,506.00","","Não","","","","","","",""
"Aurora do Tocantins","TO","3,731.00","2,687.00","","Não","","","","","","",""
"Avaí","SP","5,369.00","3,605.00","","Não","","","","","","",""
"Avanhandava","SP","13,433.00","11,358.00","","Não","","","","","","",""
"Avaré","SP","90,063.00","86,215.00","","Não","","","","","","",""
"Babaçulândia","TO","10,662.00","5,042.00","","Não","","","","","","",""
"Bacuri","MA","18,508.00","9,682.00","","Não","","","","","","",""
"Bady Bassitt","SP","17,236.00","16,122.00","","Não","","","","","","",""
"Baependi","MG","19,094.00","13,816.00","","Não","","","","","","",""
"Bagé","RS","120,943.00","101,238.00","","Não","","450.00","","","","",""
"Baião","PA","46,416.00","23,351.00","","Não","","","","","","",""
"Baixa Grande do Ribeiro","PI","11,497.00","7,092.00","","Não","","","","","","",""
"Baixo Guandu","ES","30,862.00","23,891.00","84.00","Sim","23,891.00","63.00","18.00","20.00","25.00","0.00","0.00"
"Balbinos","SP","5,532.00","1,780.00","","Não","","","","","","",""
"Baldim","MG","7,851.00","5,027.00","400.00","Sim","","343.80","39.50","14.30","126.90","132.90","30.20"
"Balneário Arroio do Silva","SC","12,705.00","12,447.00","","Não","","","","","","",""
"Balneário Camboriú","SC","138,732.00","138,732.00","1863.40","Sim","138,732.00","1,583.80","803.00","400.00","100.00","180.00","100.80"
"Balneário Gaivota","SC","10,692.00","8,262.00","","Não","","","","","","",""
"Balneário Piçarras","SC","22,511.00","20,431.00","","Não","","","","","","",""
"Balneário Pinhal","RS","13,760.00","13,617.00","","Não","","","","","","",""
"Bálsamo","SP","8,994.00","8,238.00","200.00","Sim","8,238.00","153.00","100.00","35.00","4.00","8.00","6.00"
"Balsa Nova","PR","12,787.00","7,774.00","420.00","Sim","","177.00","42.00","40.00","35.00","50.00","10.00"
"Balsas","MA","93,826.00","81,743.00","","Não","","","","","","",""
"Bambuí","MG","23,757.00","20,195.00","","Não","","","","","","",""
"Bandeira","MG","4,825.00","2,300.00","","Não","","112.00","64.00","40.00","5.00","3.00","0.00"
"Bandeirante","SC","2,708.00","868.00","","Não","","","","","","",""
"Bandeirantes","PR","31,526.00","27,804.00","266.50","Sim","13,900.00","219.00","131.00","25.00","7.00","42.00","14.00"
"Banzaê","BA","13,217.00","4,522.00","","Não","","","","","","",""
"Barão","RS","6,139.00","3,176.00","1500.00","Sim","3,166.00","100.00","","","","",""
"Barão de Antonina","SP","3,441.00","2,113.00","100.00","Sim","1,000.00","60.00","","","","",""
"Barão de Cocais","MG","32,319.00","29,301.00","112.00","Sim","12,000.00","100.00","","","","",""
"Barão de Cotegipe","RS","6,627.00","4,026.00","480.00","Sim","4,026.00","102.00","50.00","30.00","20.00","1.00","1.00"
"Baraúna","PB","4,831.00","3,648.00","","Não","","","","","","",""
"Baraúna","RN","27,994.00","17,608.00","","Não","","","","","","",""
"Barbacena","MG","136,392.00","124,818.00","","Não","","","","","","",""
"Barbosa","SP","7,335.00","6,202.00","130.00","Sim","","120.50","","","","",""
"Barbosa Ferraz","PR","11,714.00","8,868.00","","Não","","65.20","20.00","10.70","24.00","9.30","1.20"
"Barcarena","PA","122,294.00","44,452.00","","Não","","","","","","",""
"Bariri","SP","34,961.00","33,171.00","1680.00","Sim","33,171.00","140.00","28.00","28.00","28.00","28.00","28.00"
"Barra Bonita","SC","1,704.00","253.00","","Não","","","","","","",""
"Barra Bonita","SP","36,127.00","35,370.00","420.00","Sim","35,350.00","402.00","166.00","18.00","128.00","60.00","30.00"
"Barracão","RS","5,295.00","3,002.00","132.00","Sim","3,000.00","100.00","","","","",""
"Barra da Estiva","BA","20,813.00","10,220.00","","Não","","","","","","",""
"Barra de Santana","PB","8,249.00","735.00","","Não","","","","","","",""
"Barra de Santa Rosa","PB","15,268.00","8,580.00","","Não","","","","","","",""
"Barra de São Francisco","ES","44,315.00","28,734.00","76.00","Sim","6,000.00","75.90","","","","",""
"Barra de São Miguel","AL","8,264.00","7,115.00","","Não","","","","","","",""
"Barra de São Miguel","PB","5,939.00","2,502.00","","Não","","","","","","",""
"Barra do Bugres","MT","34,619.00","28,307.00","","Não","","","","","","",""
"Barra do Choça","BA","32,018.00","20,623.00","1700.00","Sim","","1,500.00","900.00","400.00","200.00","0.00","0.00"
"Barra do Garças","MT","60,661.00","54,641.00","","Não","","","","","","",""
"Barra do Jacaré","PR","2,781.00","1,888.00","","Não","","","","","","",""
"Barra do Mendes","BA","13,900.00","6,217.00","","Não","","","","","","",""
"Barra do Piraí","RJ","99,969.00","96,993.00","0.00","Sim","","","","","","",""
"Barra do Quaraí","RS","4,202.00","2,974.00","200.00","Sim","1,000.00","150.00","","","","",""
"Barra do Rio Azul","RS","1,726.00","347.00","","Não","","","","","","",""
"Barra dos Coqueiros","SE","29,873.00","24,981.00","1000.00","Sim","","","","","","",""
"Barra do Turvo","SP","7,687.00","3,157.00","240.00","Sim","3,157.00","220.00","50.00","50.00","40.00","40.00","40.00"
"Barra Funda","RS","2,527.00","1,625.00","","Não","","","","","","",""
"Barra Mansa","RJ","183,976.00","182,300.00","1295.40","Sim","92,326.00","1,121.20","840.60","135.50","26.70","39.90","78.50"
