"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Pompéia","SP","21,851.00","20,330.00","515.00","Sim","20,330.00","509.00","","","","",""
"Pompéu","MG","31,583.00","27,932.00","","Não","","","","","","",""
"Pongaí","SP","3,432.00","2,884.00","137.00","Sim","2,884.00","135.00","45.00","45.00","43.00","1.00","1.00"
"Ponta Grossa","PR","348,043.00","340,361.00","2938.20","Sim","220,000.00","2,502.60","718.80","339.90","196.80","385.40","861.70"
"Pontal","SP","49,047.00","48,131.00","","Não","","","","","","",""
"Pontalina","GO","17,777.00","14,429.00","2240.00","Sim","7,214.00","1,792.00","550.00","600.00","350.00","250.00","42.00"
"Pontão","RS","3,908.00","1,580.00","","Não","","115.00","20.00","50.00","20.00","20.00","5.00"
"Ponta Porã","MS","91,082.00","72,596.00","66.40","Sim","9,368.00","49.80","26.30","13.40","10.00","0.00","0.10"
"Ponte Alta","SC","4,714.00","3,446.00","174.30","Sim","3,446.00","155.40","26.00","79.90","8.20","13.70","27.60"
"Ponte Alta do Norte","SC","3,408.00","3,103.00","390.00","Sim","","15.00","0.00","0.00","0.00","0.00","15.00"
"Ponte Alta do Tocantins","TO","7,961.00","5,019.00","","Não","","","","","","",""
"Ponte Nova","MG","59,605.00","53,161.00","","Não","","","","","","",""
"Ponte Preta","RS","1,572.00","460.00","155.00","Sim","460.00","15.00","5.00","5.00","2.00","1.00","2.00"
"Pontes e Lacerda","MT","45,093.00","37,747.00","","Não","","","","","","",""
"Ponte Serrada","SC","11,552.00","7,984.00","","Não","","","","","","",""
"Ponto Belo","ES","7,784.00","6,233.00","1500.00","Sim","6,233.00","239.00","60.00","80.00","10.00","9.00","80.00"
"Ponto dos Volantes","MG","12,061.00","4,285.00","","Não","","","","","","",""
"Porangaba","SP","9,779.00","4,722.00","60.00","Sim","","45.00","9.00","9.00","18.00","0.00","9.00"
"Porangatu","GO","45,151.00","38,090.00","","Não","","","","","","",""
"Porciúncula","RJ","18,730.00","14,649.00","349.00","Sim","13,520.00","348.00","120.00","120.00","50.00","58.00","0.00"
"Porecatu","PR","13,084.00","10,551.00","230.00","Sim","10,551.00","228.00","","","","",""
"Portalegre","RN","7,827.00","4,109.00","","Não","","","","","","",""
"Portão","RS","36,510.00","29,846.00","495.50","Sim","29,846.00","36.50","21.30","6.90","4.50","3.80","0.00"
"Porteirão","GO","3,830.00","3,352.00","","Não","","","","","","",""
"Porteiras","CE","15,047.00","6,183.00","","Não","","","","","","",""
"Porteirinha","MG","37,950.00","19,504.00","191.00","Sim","9,000.00","187.00","80.00","60.00","38.00","8.00","1.00"
"Porto","PI","12,526.00","7,900.00","","Não","","","","","","",""
"Porto Alegre","RS","1,479,101.00","1,479,101.00","17419.70","Sim","1,479,101.00","11,266.00","5,728.00","2,181.00","761.00","2,596.00","0.00"
"Porto Alegre do Tocantins","TO","3,108.00","2,133.00","","Não","","","","","","",""
"Porto Amazonas","PR","4,821.00","3,148.00","","Não","","50.00","10.00","10.00","10.00","10.00","10.00"
"Porto Barreiro","PR","3,292.00","621.00","150.00","Sim","300.00","1.00","","","","",""
"Porto Calvo","AL","27,079.00","21,274.00","","Não","","","","","","",""
"Porto do Mangue","RN","6,765.00","3,925.00","","Não","","","","","","",""
